wing_sec_6
 1.000000 0.000000
 0.998959 0.000137
 0.995840 0.000557
 0.990663 0.001295
 0.983454 0.002391
 0.974247 0.003861
 0.963078 0.005688
 0.949990 0.007842
 0.935032 0.010291
 0.918266 0.013025
 0.899761 0.016033
 0.879594 0.019303
 0.857847 0.022825
 0.834610 0.026590
 0.809979 0.030577
 0.784053 0.034759
 0.756936 0.039108
 0.728737 0.043586
 0.699569 0.048152
 0.669545 0.052753
 0.638786 0.057341
 0.607412 0.061861
 0.575544 0.066215
 0.543299 0.070283
 0.510802 0.073936
 0.478180 0.077046
 0.445572 0.079517
 0.413119 0.081281
 0.380969 0.082280
 0.349272 0.082482
 0.318177 0.081874
 0.287835 0.080470
 0.258386 0.078360
 0.229963 0.075636
 0.202696 0.072353
 0.176708 0.068567
 0.152119 0.064326
 0.129043 0.059671
 0.107590 0.054652
 0.087867 0.049321
 0.069970 0.043740
 0.053975 0.037974
 0.040033 0.032092
 0.028137 0.026206
 0.018282 0.020456
 0.010997 0.014937
 0.005552 0.010020
 0.001531 0.006105
 0.000127 0.003361
 0.000016 0.002341
 0.000000 0.001283
 0.000167 -0.001882
 0.003351 -0.005469
 0.010573 -0.008074
 0.019256 -0.010339
 0.030232 -0.012076
 0.043332 -0.013348
 0.058195 -0.014271
 0.074907 -0.014833
 0.093385 -0.015077
 0.113504 -0.015059
 0.135198 -0.014799
 0.158379 -0.014327
 0.182945 -0.013678
 0.208797 -0.012874
 0.235830 -0.011943
 0.263932 -0.010915
 0.292989 -0.009818
 0.322882 -0.008675
 0.353490 -0.007507
 0.384686 -0.006334
 0.416344 -0.005172
 0.448332 -0.004040
 0.480522 -0.002957
 0.512780 -0.001934
 0.544973 -0.000981
 0.576970 -0.000108
 0.608639 0.000678
 0.639850 0.001372
 0.670474 0.001968
 0.700385 0.002461
 0.729460 0.002853
 0.757579 0.003143
 0.784627 0.003331
 0.810492 0.003422
 0.835067 0.003425
 0.858250 0.003339
 0.879948 0.003171
 0.900069 0.002938
 0.918531 0.002646
 0.935258 0.002305
 0.950181 0.001940
 0.963240 0.001573
 0.974381 0.001210
 0.983557 0.000860
 0.990731 0.000539
 0.995875 0.000262
 0.998968 0.000068
 1.000000 0.000000
