wing_sec_27
 1.000000 0.015422
 0.998954 0.015544
 0.995821 0.015910
 0.990614 0.016519
 0.983354 0.017368
 0.974071 0.018456
 0.962803 0.019780
 0.949598 0.021335
 0.934509 0.023120
 0.917599 0.025131
 0.898939 0.027364
 0.878605 0.029817
 0.856682 0.032485
 0.833261 0.035366
 0.808440 0.038456
 0.782320 0.041748
 0.755012 0.045236
 0.726626 0.048911
 0.697282 0.052762
 0.667077 0.056609
 0.636121 0.060303
 0.604539 0.063805
 0.572462 0.067076
 0.540021 0.070078
 0.507350 0.072771
 0.474585 0.075121
 0.441862 0.077092
 0.409320 0.078652
 0.377094 0.079729
 0.345323 0.080209
 0.314148 0.080076
 0.283708 0.079323
 0.254144 0.077951
 0.225590 0.075967
 0.198181 0.073387
 0.172044 0.070235
 0.147306 0.066540
 0.124085 0.062339
 0.102499 0.057674
 0.082659 0.052591
 0.064674 0.047138
 0.048653 0.041366
 0.034709 0.035329
 0.022968 0.029088
 0.013575 0.022726
 0.006692 0.016402
 0.002418 0.010473
 0.000492 0.005596
 0.000024 0.002477
 0.000000 0.001424
 0.000044 0.000381
 0.000586 -0.002700
 0.002716 -0.007443
 0.007469 -0.012916
 0.015047 -0.018253
 0.025201 -0.023099
 0.037674 -0.027377
 0.052277 -0.031092
 0.068863 -0.034268
 0.087310 -0.036928
 0.107505 -0.039093
 0.129341 -0.040786
 0.152709 -0.042031
 0.177501 -0.042854
 0.203605 -0.043285
 0.230907 -0.043358
 0.259291 -0.043110
 0.288636 -0.042580
 0.318823 -0.041812
 0.349725 -0.040849
 0.381216 -0.039736
 0.413169 -0.038507
 0.445447 -0.037101
 0.477919 -0.035522
 0.510450 -0.033805
 0.542908 -0.031980
 0.575162 -0.030078
 0.607078 -0.028125
 0.638527 -0.026147
 0.669380 -0.024165
 0.699512 -0.022196
 0.728790 -0.020127
 0.757083 -0.017852
 0.784276 -0.015412
 0.810257 -0.012849
 0.834921 -0.010206
 0.858169 -0.007527
 0.879907 -0.004856
 0.900048 -0.002236
 0.918514 0.000289
 0.935232 0.002677
 0.950137 0.004890
 0.963170 0.006891
 0.974284 0.008645
 0.983434 0.010123
 0.990587 0.011299
 0.995715 0.012155
 0.998800 0.012674
 0.999830 0.012848
