wing_sec_41
 1.000000 0.008426
 0.998958 0.008569
 0.995837 0.009000
 0.990650 0.009713
 0.983417 0.010703
 0.974168 0.011963
 0.962939 0.013484
 0.949778 0.015254
 0.934736 0.017261
 0.917875 0.019493
 0.899265 0.021936
 0.878980 0.024575
 0.857105 0.027397
 0.833727 0.030387
 0.808944 0.033528
 0.782856 0.036804
 0.755570 0.040200
 0.727198 0.043695
 0.697856 0.047269
 0.667653 0.050822
 0.636707 0.054259
 0.605142 0.057545
 0.573088 0.060643
 0.540676 0.063517
 0.508040 0.066129
 0.475313 0.068443
 0.442633 0.070423
 0.410134 0.072034
 0.377952 0.073223
 0.346225 0.073914
 0.315088 0.074084
 0.284680 0.073713
 0.255135 0.072790
 0.226587 0.071310
 0.199166 0.069272
 0.173001 0.066684
 0.148216 0.063560
 0.124931 0.059919
 0.103264 0.055788
 0.083331 0.051195
 0.065244 0.046175
 0.049120 0.040765
 0.035080 0.035006
 0.023261 0.028951
 0.013817 0.022690
 0.006914 0.016406
 0.002622 0.010501
 0.000631 0.005658
 0.000062 0.002559
 0.000000 0.001509
 0.000001 0.000461
 0.000354 -0.002660
 0.002110 -0.007577
 0.006349 -0.013494
 0.013427 -0.019538
 0.023172 -0.025252
 0.035334 -0.030488
 0.049708 -0.035212
 0.066134 -0.039422
 0.084480 -0.043121
 0.104623 -0.046315
 0.126449 -0.049010
 0.149844 -0.051212
 0.174692 -0.052932
 0.200877 -0.054185
 0.228280 -0.054990
 0.256780 -0.055369
 0.286251 -0.055352
 0.316570 -0.054970
 0.347606 -0.054257
 0.379231 -0.053251
 0.411315 -0.051987
 0.443721 -0.050454
 0.476316 -0.048670
 0.508966 -0.046671
 0.541537 -0.044491
 0.573896 -0.042165
 0.605911 -0.039723
 0.637452 -0.037196
 0.668389 -0.034612
 0.698596 -0.031996
 0.727945 -0.029310
 0.756310 -0.026513
 0.783574 -0.023640
 0.809626 -0.020726
 0.834362 -0.017806
 0.857682 -0.014916
 0.879492 -0.012092
 0.899704 -0.009369
 0.918239 -0.006779
 0.935022 -0.004358
 0.949989 -0.002137
 0.963079 -0.000145
 0.974242 0.001590
 0.983435 0.003045
 0.990622 0.004198
 0.995775 0.005035
 0.998875 0.005541
 0.999910 0.005711
