wing_sec_6
 1.000000 0.001248
 0.998975 0.001533
 0.995905 0.002381
 0.990798 0.003784
 0.983675 0.005723
 0.974558 0.008173
 0.963480 0.011104
 0.950481 0.014479
 0.935607 0.018258
 0.918913 0.022395
 0.900459 0.026841
 0.880314 0.031544
 0.858555 0.036451
 0.835263 0.041506
 0.810530 0.046654
 0.784450 0.051839
 0.757128 0.057004
 0.728670 0.062093
 0.699192 0.067053
 0.668811 0.071829
 0.637652 0.076370
 0.605842 0.080625
 0.573513 0.084546
 0.540798 0.088087
 0.507835 0.091205
 0.474763 0.093861
 0.441723 0.096018
 0.408858 0.097643
 0.376307 0.098624
 0.344214 0.098766
 0.312735 0.098065
 0.282020 0.096535
 0.252219 0.094202
 0.223478 0.091099
 0.195937 0.087274
 0.169730 0.082783
 0.144987 0.077690
 0.121827 0.072066
 0.100366 0.065989
 0.080712 0.059540
 0.062968 0.052804
 0.047232 0.045865
 0.033606 0.038811
 0.022196 0.031736
 0.013117 0.024755
 0.006491 0.018044
 0.002368 0.011936
 0.000484 0.006999
 0.000021 0.003851
 0.000000 0.002788
 0.000049 0.001750
 0.000619 -0.001307
 0.002845 -0.005957
 0.007842 -0.011124
 0.015755 -0.015831
 0.026234 -0.019753
 0.038975 -0.022886
 0.053775 -0.025296
 0.070491 -0.027049
 0.089004 -0.028210
 0.109210 -0.028835
 0.131009 -0.028980
 0.154299 -0.028702
 0.178980 -0.028061
 0.204949 -0.027117
 0.232098 -0.025935
 0.260317 -0.024579
 0.289494 -0.023118
 0.319512 -0.021619
 0.350249 -0.020147
 0.381583 -0.018764
 0.413385 -0.017514
 0.445518 -0.016235
 0.477849 -0.014906
 0.510246 -0.013560
 0.542577 -0.012228
 0.574709 -0.010936
 0.606512 -0.009704
 0.637855 -0.008550
 0.668609 -0.007487
 0.698649 -0.006520
 0.727850 -0.005656
 0.756092 -0.004892
 0.783258 -0.004227
 0.809238 -0.003656
 0.833922 -0.003171
 0.857211 -0.002765
 0.879008 -0.002429
 0.899222 -0.002153
 0.917772 -0.001930
 0.934579 -0.001752
 0.949576 -0.001610
 0.962701 -0.001500
 0.973899 -0.001414
 0.983124 -0.001350
 0.990340 -0.001304
 0.995514 -0.001272
 0.998628 -0.001254
 0.999667 -0.001248
